id_mesociclo,id_macrociclo,nome,ordem,semana_inicio,semana_fim,foco_principal
1,1,"Adaptação Anatômica (A FUNDAÇÃO)",1,1,4,"3 Séries de 12-15 repetições | 60s de descanso."
2,1,"Hipertrofia (A FUNDAÇÃO)",2,5,8,"3 Séries de 8-12 repetições | 90s de descanso."
3,1,"Força (A FUNDAÇÃO)",3,9,11,"4 Séries de 4-6 repetições | 180s de descanso nos exercícios principais."
4,1,"Choque Metabólico (A FUNDAÇÃO)",4,12,14,"3 Séries de 12-15 repetições | 60s de descanso."
5,1,"Deload / Recuperação Ativa (A FUNDAÇÃO)",5,15,15,"3 dias de treino Full Body com 50% da carga e 2 séries por exercício."
6,2,"Adaptação (O FORJADOR DE FORÇA)",1,16,19,"3x 10-12 reps | 75s descanso"
7,2,"Hipertrofia (O FORJADOR DE FORÇA)",2,20,23,"3x 8-10 reps | 90s descanso"
8,2,"Força (O FORJADOR DE FORÇA)",3,24,27,"5x 3-5 reps | 180s+ descanso"
9,2,"Choque (O FORJADOR DE FORÇA)",4,28,29,"3x 10-15 reps | 60s descanso"
10,2,"Deload / Recuperação Ativa (O FORJADOR DE FORÇA)",5,30,30,"Deload / Recuperação Ativa"
11,3,"Adaptação (O ESCULTOR MUSCULAR)",1,31,34,"3x 12-15 reps | 60s descanso"
12,3,"Hipertrofia (O ESCULTOR MUSCULAR)",2,35,38,"3x 10-12 reps | 75s descanso"
13,3,"Força-Resistência (O ESCULTOR MUSCULAR)",3,39,42,"4x 6-8 reps | 90s descanso"
14,3,"Choque (O ESCULTOR MUSCULAR)",4,43,44,"3x 15-20 reps | 45s descanso"
15,3,"Deload / Recuperação Ativa (O ESCULTOR MUSCULAR)",5,45,45,"Deload / Recuperação Ativa"
16,4,"Deload Extendido e Mobilidade (TRANSIÇÃO E POTENCIAÇÃO)",1,46,47,"Foco em recuperação. 2-3 treinos full body por semana com 50% da carga. Priorize mobilidade e alongamentos."
17,4,"Fase de Potenciação Técnica (TRANSIÇÃO E POTENCIAÇÃO)",2,48,50,"Retorne aos exercícios do Macrociolo 1, mas com cargas muito leves (60%). O objetivo é praticar a execução perfeita e preparar o corpo para o próximo ciclo de força."
18,4,"Descanso Total ou Ativo Leve (TRANSIÇÃO E POTENCIAÇÃO)",3,51,52,"Pausa completa da musculação. Aproveite para descansar a mente e o corpo. Faça atividades leves que você goste (caminhar, nadar, etc.)."
